City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
310,patur,64,IN,1523127403,51,20.46,76.94,79.57,3.6
311,espinosa,32,BR,1523127414,56,-14.92,-42.81,82.54,7.4
312,cockburn town,48,TC,1523127124,100,21.46,-71.14,77.32,7.18
313,komsomolskiy,0,RU,1523127404,84,67.55,63.78,20.62,14.9
314,vila velha,40,BR,1523124000,70,-3.71,-38.6,84.2,8.05
315,kamogawa,20,JP,1523125800,50,35.13,140.08,51.8,9.17
316,hamilton,90,BM,1523125740,88,32.3,-64.78,71.6,13.87
317,nemuro,8,JP,1523127406,100,43.32,145.57,32.58,18.25
318,shingu,0,JP,1523127417,100,33.72,135.99,48.6,21.05
319,srednekolymsk,0,RU,1523127407,87,67.46,153.71,8.56,4.16
320,kerema,92,PG,1523127417,96,-7.96,145.78,73.35,2.04
321,zhigansk,0,RU,1523127408,76,66.77,123.37,9.72,7.52
322,brazzaville,20,CD,1523124000,62,-4.27,15.27,86.0,3.36
323,salalah,20,OM,1523123400,78,17.01,54.1,80.6,3.36
324,jalu,0,LY,1523127409,29,29.03,21.55,65.89,5.61
325,ambunti,56,PG,1523127410,100,-4.22,142.82,73.98,1.92
326,jacmel,44,HT,1523127421,100,18.24,-72.54,78.67,8.63
327,riachao,88,BR,1523127411,96,-7.36,-46.62,76.06,6.17
328,lubao,75,PH,1523124000,78,14.94,120.6,80.6,2.24
329,sorland,0,NO,1523127259,100,67.67,12.69,37.17,13.89
330,isangel,44,VU,1523127412,100,-19.55,169.27,79.47,25.41
331,deder,68,ET,1523127423,94,9.31,41.44,63.37,3.15
332,la rochelle,92,FR,1523125800,93,46.16,-1.15,53.6,2.24
333,vangaindrano,92,MG,1523127424,100,-23.35,47.6,68.05,2.82
334,firozpur,8,IN,1523123700,39,30.96,74.61,84.2,4.7
335,port moresby,20,PG,1523124000,100,-9.47,147.16,73.4,3.36
336,borovichi,8,RU,1523127416,62,58.39,33.91,32.85,10.98
337,nioro,0,GM,1523127416,23,13.79,-15.05,101.07,4.5
338,tsumeb,44,NA,1523127417,83,-19.25,17.72,67.77,6.06
339,waingapu,0,ID,1523127417,97,-9.65,120.26,70.83,3.15
340,kondopoga,8,RU,1523124000,47,62.21,34.27,37.4,8.95
341,palmer,0,AU,1523125800,48,-34.85,139.16,62.6,9.17
342,ayan,32,TR,1523127419,54,40.67,33.6,51.04,3.38
343,celestun,0,MX,1523127429,84,20.87,-90.4,83.35,9.86
344,guerrero negro,0,MX,1523127430,71,27.97,-114.04,66.6,5.5
345,lagoa,40,PT,1523125800,76,37.14,-8.45,57.2,14.99
346,nanortalik,32,GL,1523127431,95,60.14,-45.24,29.44,11.54
