,Compound,Negative,Neutral,Positive,Time Stamp,Tweet,Tweet_Ago,User
81,0.0516,0.109,0.775,0.116,02-08-2018 21:19:57,"RT @BBCBreaking: US Dow Jones index slumps 1,000 points for second time in a week, amid worries over inflation and interest rates https://t…",81,@BBCWorld
82,-0.743,0.512,0.488,0.0,02-08-2018 17:11:58,French minister Nicolas Hulot denies harassment allegations https://t.co/YvYstxt7S3,82,@BBCWorld
83,0.0,0.157,0.685,0.157,02-08-2018 10:07:03,"Made-up to look beautiful, sent out to die.

The young women sent into crowds to blow themselves up… https://t.co/3X8IhCakLr",83,@BBCWorld
84,0.0,0.0,1.0,0.0,02-08-2018 01:00:53,North Korea's athletes at the Winter Olympics https://t.co/0E52AoPHv8,84,@BBCWorld
85,0.0,0.0,1.0,0.0,02-07-2018 18:23:17,EU migration chief hits out at ‘sick minds’ over Greece bribery probe https://t.co/oIEnUGTzEy,85,@BBCWorld
86,-0.6249,0.421,0.579,0.0,02-07-2018 11:08:44,Poland Holocaust law: France criticises 'ill advised' text https://t.co/CyR8VnFUsm,86,@BBCWorld
87,0.6597,0.0,0.625,0.375,02-07-2018 06:12:13,The plastic bottle scheme that could help clean the oceans https://t.co/Y1thK516q8,87,@BBCWorld
88,0.0,0.0,1.0,0.0,02-07-2018 01:00:55,100 Women: Does being called Emmeline change your life? https://t.co/mG56QSuPjh,88,@BBCWorld
89,0.0,0.0,1.0,0.0,02-06-2018 19:41:22,Taiwan eyewitness caught in aftershock live on TV https://t.co/JzYfus2oj0,89,@BBCWorld
90,-0.2023,0.184,0.816,0.0,02-06-2018 12:03:05,Poland President Duda 'will sign' controversial Holocaust bill https://t.co/tDQLz5vSCV,90,@BBCWorld
91,0.0,0.0,1.0,0.0,02-06-2018 08:46:30,The extraordinary healing powers of music 🎶 https://t.co/t3lJYsHPOr,91,@BBCWorld
92,0.0,0.0,1.0,0.0,02-06-2018 00:03:59,John Mahoney: British-born Frasier actor dies aged 77 https://t.co/qbbOuDNyv9,92,@BBCWorld
93,-0.0572,0.058,0.942,0.0,02-05-2018 16:17:43,"RT @BBC_HaveYourSay: Doritos to launch 'lady-friendly' crisps because women don't want to crunch loudly in public or lick their fingers, ap…",93,@BBCWorld
94,-0.3875,0.122,0.878,0.0,02-05-2018 12:00:25,"""The reason I've gone through this ordeal is not just to save myself....but it's to set a precedent.""  Alleged comp… https://t.co/NwpTFvmKXx",94,@BBCWorld
95,-0.6249,0.338,0.662,0.0,02-05-2018 01:49:14,Salah Abdeslam: Paris attacks suspect to go on trial in Belgium https://t.co/ny0QZPuaxD,95,@BBCWorld
96,-0.5106,0.292,0.708,0.0,02-04-2018 13:53:28,US police officer run over by car thieves https://t.co/wPQUrI1Ziv,96,@BBCWorld
97,0.3182,0.135,0.645,0.219,02-03-2018 22:54:52,US House Speaker Paul Ryan deletes $1.50 tax cut gain tweet https://t.co/RgxHuHhTHU,97,@BBCWorld
98,0.0,0.133,0.734,0.133,02-03-2018 10:36:59,"Thousands of hidden Mayan ruins have been uncovered, thanks to technology that some archaeologists describe as ""mag… https://t.co/93B6SlSHOo",98,@BBCWorld
99,0.0,0.0,1.0,0.0,02-02-2018 23:03:08,Temptations singer Dennis Edwards dies aged 74 https://t.co/KDb7akGkqW,99,@BBCWorld
100,0.0,0.0,1.0,0.0,03-10-2018 08:33:03,Senator Marco Rubio says there are preconditions for Trump summit with Kim Jong Un https://t.co/FEzAzKlJfo https://t.co/cU7AdJHajk,0,@CBSNews
101,0.0,0.0,1.0,0.0,03-10-2018 04:03:03,"""Monster"" 197-pound cougar captured by Washington state biologists https://t.co/2sx6UyVqAr https://t.co/S8ADTFPTAT",1,@CBSNews
102,0.6801,0.0,0.773,0.227,03-09-2018 23:36:56,"""The fundamentals are very strong right now in our economy."" The economy created 313,000 jobs last month, and the u… https://t.co/jKdxgxwpfH",2,@CBSNews
